x,y,z
8.233454552596008114e+00,4.840839067128870910e-01,2.949069194302385011e-01
7.976781541485987503e+00,4.231858440199824378e-01,5.181765016280807101e-01
7.639907991219426542e+00,3.403329960630531170e-01,8.258103498134752307e-01
7.330751986091191164e+00,2.439846941157122195e-01,1.209477803801839224e+00
7.150598401809981297e+00,1.500550248135891218e-01,1.621571926248928097e+00
7.164463934891164953e+00,7.716568079423580251e-02,1.989592070263623835e+00
7.383639271689450112e+00,4.060211958713588754e-02,2.240818463603373889e+00
7.765565031154920916e+00,4.699160497379850643e-02,2.328826183554974172e+00
8.230463945527997538e+00,9.153805496178424317e-02,2.252502222876535232e+00
8.688707095368753741e+00,1.588400854636869974e-01,2.060554301334336369e+00
9.069541215371256015e+00,2.271496523081793506e-01,1.839280697231213013e+00
9.341635956548316244e+00,2.747873920528245972e-01,1.687011910390243230e+00
9.518937026756599806e+00,2.866990523344896125e-01,1.683235886444925500e+00
9.650472021756847596e+00,2.590626625072903755e-01,1.862411441839163961e+00
9.798279349207241751e+00,2.004676765489292745e-01,2.201157019104295731e+00
1.001163774368237824e+01,1.292860215925333844e-01,2.623277968271633398e+00
1.030691328950973151e+01,6.807913961564648897e-02,3.021345526759845690e+00
1.066024495305459929e+01,3.683116815622200502e-02,3.288162579288739895e+00
1.101569567202731648e+01,4.715557853629392948e-02,3.348227186902984709e+00
1.130599309408036746e+01,9.927636916592430527e-02,3.179304895673698894e+00
1.147847109802768628e+01,1.826547719176377371e-01,2.817444970876868293e+00
1.151686242438687735e+01,2.799311354749204339e-01,2.344153835378673278e+00
1.145087661640043031e+01,3.727799478248202125e-01,1.860189055596322083e+00
1.134961069227133734e+01,4.476881376651890010e-01,1.454661191810160181e+00
1.130039667693855598e+01,4.997523189195507420e-01,1.179448377334549880e+00
1.137980097412365055e+01,5.333116186473517706e-01,1.036935617230677176e+00
1.162640204729340709e+01,5.593380519940288620e-01,9.844899120727177433e-01
1.202466306129650242e+01,5.906176339691419086e-01,9.534408055956662409e-01
1.250574527984168682e+01,6.364952165901194281e-01,8.755553624496701381e-01
1.296560499919013409e+01,6.990758016466297464e-01,7.076716520003731858e-01
1.329500486557515160e+01,7.722385976124905849e-01,4.460385080971775440e-01
1.341050306707521855e+01,1.267665769953729038e+00,1.884955592153876036e-01
1.328252518420772788e+01,1.320533088510380093e+00,-1.348336202631469638e-01
1.294262984532700145e+01,1.341456825038327860e+00,-3.988794479211678068e-01
1.247436327817648660e+01,1.331235635289781838e+00,-5.683113196426126112e-01
1.198757922014291744e+01,1.301014406770513832e+00,-6.469149934401704494e-01
1.158565573282923467e+01,1.269317510323745068e+00,-6.782504232540965683e-01
1.133573568559535794e+01,1.256327917444522546e+00,-7.311797632411803916e-01
1.125128752207060145e+01,1.277243591955945501e+00,-8.750067231288733982e-01
1.129212413803243287e+01,1.336910745613112850e+00,-1.152757448041592081e+00
1.138123936657945379e+01,1.427566527190542445e+00,-1.562024939286608349e+00
1.143235508861833161e+01,1.530535536837873023e+00,-2.050452662657332503e+00
1.137872904644622807e+01,1.621439160147763126e+00,-2.528108313357555925e+00
1.119364005094238124e+01,1.677320137145484225e+00,-2.893305176086086838e+00
1.089604393884383349e+01,1.683442656137382087e+00,-3.063785205994030925e+00
1.054010194161890368e+01,1.637616482232163717e+00,-3.003166704859764113e+00
1.019283553611618487e+01,1.550685656487184483e+00,-2.733889164494568202e+00
9.908169086119995583e+00,1.443057623859850480e+00,-2.332150774714266905e+00
9.706732148320957876e+00,1.338419610918572644e+00,-1.906137182812773334e+00
9.568649134387168687e+00,1.256676953573736544e+00,-1.564267819550603011e+00
9.441898671750012184e+00,1.208362742286034575e+00,-1.383439973680804513e+00
9.263285019148316479e+00,1.192244473650857950e+00,-1.387250818717573608e+00
8.984541045300186823e+00,1.196772088977635429e+00,-1.540923771800241981e+00
8.594142439204869532e+00,1.204737856009898245e+00,-1.764237878960535522e+00
8.126741854920062735e+00,1.199478205471613101e+00,-1.957955872998782043e+00
7.656299412094042189e+00,1.170485080939112077e+00,-2.034983664916971247e+00
7.274588423197856812e+00,1.116556786649186783e+00,-1.946164370433724367e+00
7.061887775657020860e+00,1.045507604506946686e+00,-1.692621260530652538e+00
7.059574215990574331e+00,9.706627167732757577e-01,-1.321207371328835256e+00
7.253980005405377796e+00,9.054760728302262418e-01,-9.053130698224158834e-01
7.577356794721704425e+00,8.582450655678245388e-01,-5.181075769614388316e-01
7.926231711838988225e+00,8.288422428824413490e-01,-2.076368435982766381e-01
8.191696860731651597e+00,8.086620477203841917e-01,1.769164782597090757e-02
8.292157258120525398e+00,7.838396414076760355e-01,1.884955592153874093e-01
8.198127545688352669e+00,7.406325068277641588e-01,3.592994706048038833e-01
7.941145905916359382e+00,6.710665498266566997e-01,5.846279620290512069e-01
7.603960062300342493e+00,5.768118913719464391e-01,8.950986953922133171e-01
7.295161373203374211e+00,4.698227072104113056e-01,1.282304188253190258e+00
7.116413803828847584e+00,3.693626855637421880e-01,1.698198489759609187e+00
7.132710917446551946e+00,2.962770244124079966e-01,2.069612378961427357e+00
7.354957340897705365e+00,2.663424455688218062e-01,2.323155488864498519e+00
