x,y
9.699999999999999734e-01,4.291146057451076246e-01
9.699999999999999734e-01,3.682319282952095651e-01
9.699999999999999734e-01,3.039577565400820580e-01
9.699999999999999734e-01,2.404489930719109492e-01
9.699999999999999734e-01,1.791526094095868549e-01
9.699999999999999734e-01,1.216292909652327559e-01
9.699999999999999734e-01,6.642201916472530165e-02
9.699999999999999734e-01,1.089600795407363529e-02
9.699999999999999734e-01,-4.686160743471454171e-02
9.699999999999999734e-01,-1.066180270028314198e-01
9.699999999999999734e-01,-1.678328086593650070e-01
9.699999999999999734e-01,-2.301574910287838005e-01
9.699999999999999734e-01,-2.934829155329315986e-01
9.699999999999999734e-01,-3.701019659934258743e-01
9.699999999999999734e-01,-4.296739694501369167e-01
9.699999999999999734e-01,-4.699999999999999734e-01
9.195646331595108691e-01,-4.699999999999999734e-01
8.649765827861519707e-01,-4.699999999999999734e-01
7.966959314050960916e-01,-4.699999999999999734e-01
7.421870273238508897e-01,-4.699999999999999734e-01
7.013542494116625781e-01,-4.699999999999999734e-01
6.443406155323797568e-01,-4.699999999999999734e-01
5.842939585520039447e-01,-4.699999999999999734e-01
5.254910050262403542e-01,-4.699999999999999734e-01
4.815475269753030640e-01,-4.699999999999999734e-01
4.203445393335941138e-01,-4.699999999999999734e-01
3.418664109595487277e-01,-4.699999999999999734e-01
2.780071792051085344e-01,-4.699999999999999734e-01
2.153926723882119976e-01,-4.699999999999999734e-01
1.552173670941701666e-01,-4.699999999999999734e-01
1.110680854186611305e-01,-4.699999999999999734e-01
5.170784811717080154e-02,-4.699999999999999734e-01
-8.987639877342070913e-03,-4.699999999999999734e-01
-6.877101844222427429e-02,-4.699999999999999734e-01
